"X","year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage","Resp"
231655,2006,18,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.318063335,75.04315402,28.024
86582,2004,24,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.255272505,70.47601965,29.064
161300,2003,45,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.875061263,130.9821774,36.118
155159,2003,43,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.041392685,154.685293,38.678
11443,2005,50,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.318063335,75.04315402,29.526
376662,2008,54,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.84509804,127.1157438,41.816
450601,2009,44,"2. Married","4. Other","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.133021279,169.528538,39.08
377954,2008,30,"1. Never Married","3. Asian","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.716003344,111.7208494,29.911
228963,2006,41,"1. Never Married","2. Black","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.77815125,118.8843593,29.198
81404,2004,52,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.857332496,128.6804882,41.163
302778,2007,45,"4. Divorced","1. White","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.763427994,117.1468169,31.68
305706,2007,34,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.397940009,81.28325328,36.838
8690,2005,35,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.494154594,89.49247952,30.403
153561,2003,39,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.903089987,134.7053751,38.745
449654,2009,54,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.903089987,134.7053751,42.406
447660,2009,51,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.505149978,90.48191336,39.98
160191,2003,37,"1. Never Married","3. Asian","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.414973348,82.6796373,30.67
230312,2006,50,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.360551762,212.8423523,42.426
301585,2007,56,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.861026342,129.156693,41.249
153682,2003,37,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.591064607,98.59934386,30.555
158226,2003,38,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.301029996,200.5432623,38.782
